Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Fondling,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Weapon Law Violations
22,4,13,5,1,2,2,0,0,0,0,0,7,2,10,0,0,3,2,1,0,45,0,0,2,4,1,1,37,3,1,2,27,13,14,5
46,14,18,14,6,1,0,1,0,0,0,0,1,0,20,0,0,3,1,0,2,18,0,0,0,1,6,0,11,2,0,3,24,22,2,4
5,2,2,1,0,0,0,0,0,0,0,0,9,1,3,0,0,1,0,1,0,14,0,0,2,3,1,2,6,3,0,0,11,6,5,2
60,11,27,22,0,2,2,0,0,0,0,0,20,1,23,0,0,1,0,0,1,25,1,0,3,0,7,0,14,3,1,1,24,17,7,1
66,12,36,18,0,1,1,0,0,0,0,0,13,2,12,0,0,1,0,0,1,61,0,0,9,8,9,2,33,5,1,3,147,67,80,7
27,3,18,6,0,8,4,4,0,0,0,0,0,4,0,0,0,1,0,0,1,11,0,0,8,0,0,0,3,3,0,5,30,16,14,2
53,12,30,11,1,6,5,1,0,0,0,0,17,11,32,0,0,5,1,4,0,46,0,0,20,2,3,0,21,2,0,3,107,32,75,5
24,5,14,5,2,1,0,1,0,0,0,0,0,2,8,0,0,3,2,1,0,12,0,0,1,2,2,0,7,2,0,1,29,15,14,0
94,22,46,26,4,1,1,0,0,0,1,0,11,1,7,0,0,2,0,0,2,25,0,0,0,2,4,0,19,0,0,2,87,47,40,2
37,14,16,7,1,5,0,5,0,0,0,0,9,1,9,0,0,3,1,2,0,20,1,0,2,7,2,0,8,5,0,0,8,4,4,0
25,16,7,2,0,1,1,0,0,0,1,0,7,1,13,0,0,0,0,0,0,9,0,0,0,0,0,0,9,1,0,0,1,1,0,3
50,10,23,17,0,8,1,7,0,0,0,0,5,2,10,0,0,3,1,2,0,29,0,0,9,2,2,0,16,4,0,1,31,20,11,3
289,39,195,55,12,20,9,0,11,0,3,0,52,52,88,0,1,32,19,10,3,275,0,0,2,3,7,5,258,28,2,12,389,207,182,40
38,11,18,9,0,5,1,4,0,0,1,0,14,5,22,0,0,3,2,1,0,59,0,0,12,2,10,1,33,3,0,2,29,19,10,2
15,4,10,1,0,1,1,0,0,0,0,0,10,1,3,0,0,2,0,2,0,11,0,0,0,1,2,0,8,6,0,2,19,10,9,4
186,15,72,99,2,8,4,4,0,0,0,0,46,12,67,0,0,27,12,11,4,180,0,1,22,53,24,1,76,6,1,27,169,88,81,11
492,142,212,138,11,18,9,9,0,0,11,0,164,12,253,0,0,14,5,6,3,370,1,1,122,18,19,6,201,47,17,3,54,28,26,45
14,4,8,2,0,1,0,0,1,0,0,0,5,2,3,0,0,0,0,0,0,11,0,0,2,2,0,0,7,1,0,2,20,12,8,0
297,54,227,16,5,18,8,4,3,3,0,0,85,26,123,8,0,27,13,9,4,280,2,7,77,21,49,7,116,24,4,2,147,137,10,5
727,151,348,228,5,58,35,0,20,0,8,0,758,175,866,1,0,248,28,144,75,1731,1,1,131,1,95,18,1484,215,43,1,524,295,229,50
12,5,7,0,0,0,0,0,0,0,1,0,8,0,8,0,0,1,0,1,0,16,0,0,1,1,3,0,11,1,0,6,16,7,9,3
1187,203,653,331,21,32,21,2,6,0,1,0,290,64,668,5,0,278,56,191,30,1061,0,0,288,211,254,86,218,187,42,49,342,222,120,43
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0
36,4,22,10,0,1,1,0,0,0,0,0,33,6,22,0,0,5,4,1,0,58,0,0,21,0,7,1,29,12,1,3,32,17,15,2
1945,393,587,965,60,82,56,16,7,0,2,0,1109,249,1147,0,0,363,81,274,7,1799,2,11,424,171,128,22,1041,136,59,111,1637,999,638,142
