State,Agency Type,Agency Name,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With an Object,Fondling,Incest,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Animal Cruelty,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution Offenses,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,State Total
TEXAS,Cities,Forney,"25,374",796,174,463,159,163,20,119,24,0,0,0,0,1,1,0,0,10,8,0,0,2,0,0,0,1,38,35,55,0,0,63,28,24,9,0,1,1,0,230,0,0,68,5,0,89,3,65,37,4,0,0,135,117,18,0,0,0,0,0,3,0,0,0,0,21,879278
TEXAS,Cities,Fort Stockton,"8,402",347,110,163,74,106,23,80,3,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,26,19,33,1,0,11,0,6,2,0,0,3,0,40,0,0,9,3,0,5,0,23,9,1,23,0,66,64,2,2,0,2,0,0,0,0,0,0,0,6,879278
TEXAS,Cities,Fort Worth,"915,237","51,158","11,956","33,170","6,032","11,002","2,577","7,530",895,71,69,2,0,18,18,0,172,693,414,44,14,221,0,0,85,3,"3,739",428,"5,348",198,9,"1,338",299,565,7,0,4,407,56,"17,632",29,165,"2,094",37,89,"6,240",954,"8,024","3,380",976,34,68,"4,494","3,334","1,160",26,10,16,0,0,177,235,225,8,2,"1,032",879278
TEXAS,Cities,Frankston,"1,180",103,15,47,41,14,1,6,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,5,8,0,0,6,5,0,1,0,0,0,0,20,0,0,1,0,0,1,0,18,4,0,0,0,29,26,3,8,0,4,4,0,1,0,0,0,0,3,879278
TEXAS,Cities,Freeport,"12,213",546,130,362,54,120,36,68,16,0,0,0,0,0,0,0,0,10,4,0,0,4,0,2,2,0,52,13,57,0,0,28,11,14,3,0,0,0,0,205,0,0,0,0,0,39,3,163,0,5,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,7,879278
TEXAS,Cities,Friona,"3,888",82,29,27,26,25,2,22,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,2,0,0,5,2,3,0,0,4,0,2,1,0,1,0,0,11,0,0,3,1,0,2,1,4,1,0,1,0,26,23,3,0,0,0,0,0,0,0,0,0,0,0,879278
TEXAS,Cities,Frisco,"199,445","6,345",951,"3,813","1,581",884,83,696,105,1,1,0,0,0,0,0,3,63,28,6,12,13,0,4,9,0,250,106,417,44,10,791,199,247,3,0,56,282,4,"2,050",3,0,657,306,2,623,86,373,103,30,3,0,"1,513",937,576,0,0,0,0,0,13,3,3,0,0,52,879278
TEXAS,Cities,Fulshear,"13,967",198,2,126,70,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,14,1,0,23,4,3,16,0,0,0,0,76,0,0,7,0,0,0,0,69,5,0,2,0,70,31,39,0,0,0,0,0,0,0,0,0,0,0,879278
TEXAS,Cities,Garden Ridge,"4,124",158,8,72,78,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0,0,15,15,0,0,0,0,0,0,26,0,0,0,0,0,10,0,16,4,0,0,0,73,37,36,0,0,0,0,0,0,0,0,0,0,5,879278
TEXAS,Cities,Gatesville,"12,311",606,195,310,101,179,10,148,21,0,0,0,0,0,0,0,0,16,11,2,0,3,0,0,2,0,62,9,46,1,0,41,5,11,24,1,0,0,0,140,0,0,21,0,0,19,0,100,9,0,0,0,91,82,9,0,0,0,0,0,6,0,0,0,0,4,879278
TEXAS,Cities,Georgetown,"78,332","2,082",496,"1,308",278,466,48,353,65,1,0,1,0,0,0,0,2,27,22,3,0,2,0,0,1,0,100,51,235,9,1,258,74,95,0,0,10,76,3,600,1,0,135,35,5,158,9,257,41,8,4,13,242,178,64,0,0,0,0,0,7,0,0,0,0,16,879278
TEXAS,Cities,Gilmer,"5,164",521,95,220,206,85,26,45,14,0,0,0,0,0,0,0,1,9,4,0,0,4,0,1,2,1,14,24,25,1,0,17,6,9,2,0,0,0,0,124,0,0,51,13,0,11,0,49,10,2,0,0,185,114,71,0,0,0,0,0,1,1,1,0,0,19,879278
TEXAS,Cities,Gladewater,"6,349",392,75,250,67,68,10,46,12,0,0,0,0,0,0,0,1,6,1,1,0,3,0,1,1,0,41,18,32,1,0,10,1,6,3,0,0,0,0,131,1,1,13,17,0,39,1,59,13,2,1,0,59,41,18,0,0,0,0,0,0,0,0,0,0,8,879278
TEXAS,Cities,Glenn Heights,"13,520",591,177,362,52,168,33,119,16,0,0,0,0,0,0,0,0,9,1,1,0,7,0,0,0,0,54,5,64,1,0,33,2,7,24,0,0,0,0,179,1,2,14,17,0,59,8,78,16,10,0,2,38,34,4,0,0,0,0,0,2,0,0,0,0,10,879278
TEXAS,Cities,Graham,"8,670",436,58,127,251,51,5,42,4,1,1,0,0,0,0,0,0,6,3,0,0,1,0,2,2,0,9,12,25,0,0,14,2,9,3,0,0,0,0,58,1,1,16,6,0,15,0,19,6,1,0,0,243,145,98,0,0,0,0,0,1,0,0,0,0,7,879278
TEXAS,Cities,Grand Prairie,"196,971","10,333","1,551","6,010","2,772","1,460",243,"1,178",39,5,5,0,0,1,1,0,3,82,39,5,1,29,1,7,11,0,504,136,909,0,0,636,635,0,1,0,0,0,0,"3,165",1,0,2,0,0,834,1,"2,327",509,135,5,0,"2,556","1,468","1,088",5,0,0,5,0,9,0,0,0,0,202,879278
TEXAS,Cities,Grand Saline,"3,171",156,25,55,76,24,3,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,1,13,0,0,5,1,3,1,0,0,0,0,18,0,0,3,1,0,1,1,12,3,0,2,0,69,55,14,0,0,0,0,0,1,0,0,0,0,6,879278
TEXAS,Cities,Groesbeck,"4,302",185,48,81,56,47,5,35,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,1,14,0,0,6,1,4,1,0,0,0,0,47,0,0,11,15,0,4,0,17,3,0,4,1,53,40,13,0,0,0,0,0,0,0,0,0,0,2,879278
TEXAS,Cities,Gun Barrel City,"6,273",231,45,162,24,42,7,35,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,35,12,21,0,0,17,3,13,0,0,0,1,0,60,0,1,11,1,0,4,0,43,16,1,0,0,24,19,5,0,0,0,0,0,0,0,0,0,0,0,879278
TEXAS,Cities,Gunter,"1,614",27,6,15,6,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,4,0,0,1,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,879278
TEXAS,Cities,Hallettsville,"2,634",160,40,64,56,39,12,24,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,6,5,16,0,0,2,0,2,0,0,0,0,0,32,0,0,0,0,0,5,0,27,2,0,0,0,51,36,15,0,0,0,0,0,2,0,0,0,0,3,879278
TEXAS,Cities,Hamilton,"3,008",126,35,70,21,31,7,23,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,12,2,26,0,0,7,3,2,0,0,0,2,0,22,0,0,4,1,0,5,0,12,1,0,0,2,12,12,0,0,0,0,0,0,2,0,0,0,0,5,879278
TEXAS,Cities,Hamlin,"1,982",39,14,14,11,12,2,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,1,3,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,4,1,0,0,2,7,7,0,0,0,0,0,0,0,0,0,0,0,2,879278
TEXAS,Cities,Harlingen,"65,481","6,237","1,352","4,312",573,"1,257",165,"1,072",20,0,0,0,0,0,0,0,11,84,44,8,2,30,0,0,10,0,444,64,699,32,2,245,7,116,111,1,0,10,0,"2,660",5,5,983,84,6,736,24,817,97,54,5,1,547,405,142,0,0,0,0,0,6,3,3,0,0,16,879278
TEXAS,Cities,Heath,"9,179",144,54,65,25,48,6,38,4,0,0,0,0,0,0,0,0,6,2,3,0,1,0,0,0,0,9,2,5,0,0,11,1,0,10,0,0,0,0,34,0,0,2,14,0,7,1,10,3,1,0,0,22,14,8,0,0,0,0,0,1,0,0,0,0,2,879278
TEXAS,Cities,Hedwig Village,"2,684",408,21,261,126,21,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,29,2,0,10,0,4,6,0,0,0,0,193,2,11,29,7,1,107,2,34,6,6,0,0,117,78,39,0,0,0,0,0,0,0,0,0,0,9,879278
TEXAS,Cities,Helotes,"9,881",234,21,152,61,20,1,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,13,6,27,0,0,35,13,4,1,0,1,16,0,65,0,1,35,1,0,12,1,15,5,0,0,0,55,16,39,0,0,0,0,0,0,0,0,0,0,6,879278
TEXAS,Cities,Henderson,"13,226","1,315",419,764,132,400,59,261,80,4,4,0,0,0,0,0,1,14,6,2,0,2,0,4,1,0,60,48,160,3,0,37,2,25,10,0,0,0,0,429,3,9,131,37,1,63,12,173,23,3,0,0,116,75,41,0,0,0,0,0,4,1,1,0,0,11,879278
TEXAS,Cities,Hewitt,"15,019",379,102,203,74,91,7,64,20,1,1,0,0,0,0,0,0,10,2,1,0,4,0,3,0,0,20,9,21,0,0,26,5,12,0,0,0,8,1,113,0,1,23,1,0,32,0,56,12,2,0,0,72,33,39,0,0,0,0,0,1,0,0,0,0,1,879278
TEXAS,Cities,Highland Park,"9,251",299,16,238,45,13,5,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,36,4,9,0,0,25,0,5,20,0,0,0,0,149,0,0,0,0,0,65,0,84,13,1,0,0,42,18,24,0,0,0,0,0,0,0,0,0,0,3,879278
TEXAS,Cities,Highland Village,"16,721",331,66,157,108,61,3,41,17,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,9,9,11,0,0,29,0,5,23,0,1,0,0,96,0,0,12,1,0,20,2,61,3,0,0,2,104,69,35,0,0,0,0,0,0,0,0,0,0,2,879278
TEXAS,Cities,Hill Country Village,"1,109",48,5,30,13,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,5,2,1,2,0,0,0,0,18,0,0,9,1,0,1,0,7,2,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,1,879278
TEXAS,Cities,Hillsboro,"8,476",606,141,331,134,137,14,117,6,0,0,0,0,0,0,0,0,4,0,0,0,2,1,1,0,0,15,16,29,1,0,17,2,8,7,0,0,0,0,234,1,3,154,5,0,16,2,53,15,3,1,0,127,71,56,0,0,0,0,0,1,0,0,0,0,6,879278
TEXAS,Cities,Hollywood Park,"3,406",89,8,51,30,6,0,5,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,6,2,0,0,5,0,2,2,0,1,0,0,24,0,0,2,0,0,13,1,8,5,3,3,0,29,19,10,0,0,0,0,0,0,0,0,0,0,1,879278
